,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApplication,Grants permission to create an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,sso:CreateManagedApplicationInstance  sso:DescribeRegisteredRegions
1,DeleteApplication,Grants permission to delete an application,Write,application*,,sso:DeleteManagedApplicationInstance
2,DescribeApplication,Grants permission to describe an application,Read,application*,,
3,ListApplications,Grants permission to list all applications,List,,,
4,ListTagsForResource,Grants permission to list all tags for a resource,Read,application,,
5,TagResource,Grants permission to tag a resource,Tagging,application,,
6,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
7,UntagResource,Grants permission to untag a resource,Tagging,application,,
8,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys,
9,UpdateApplication,Grants permission to update an application,Write,application*,,
