,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelOrder,Grants permission to cancel an order,Write,,,
1,CreateOrder,Grants permission to create an order,Write,,,
2,CreateOutpost,Grants permission to create an Outpost,Write,,,
3,CreatePrivateConnectivityConfig,Grants permission to create a private connectivity configuration,Write,,,
4,CreateSite,Grants permission to create a site,Write,,,
5,DeleteOutpost,Grants permission to delete an Outpost,Write,,,
6,DeleteSite,Grants permission to delete a site,Write,,,
7,GetCatalogItem,Grants permission to get a catalog item,Read,,,
8,GetConnection,Grants permission to get information about the connection for your Outpost server,Read,,,
9,GetOrder,Grants permission to get information about an order,Read,,,
10,GetOutpost,Grants permission to get information about the specified Outpost,Read,,,
11,GetOutpostInstanceTypes,Grants permission to get the instance types for the specified Outpost,Read,,,
12,GetPrivateConnectivityConfig,Grants permission to get a private connectivity configuration,Read,,,
13,GetSite,Grants permission to get a site,Read,,,
14,GetSiteAddress,Grants permission to get a site address,Read,,,
15,ListAssets,Grants permission to list the assets for your Outpost,List,,,
16,ListCatalogItems,Grants permission to list all catalog items,List,,,
17,ListOrders,Grants permission to list the orders for your AWS account,List,,,
18,ListOutposts,Grants permission to list the Outposts for your AWS account,List,,,
19,ListSites,Grants permission to list the sites for your AWS account,List,,,
20,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
21,StartConnection,Grants permission to start a connection for your Outpost server,Write,,,
22,TagResource,Grants permission to tag a resource,Tagging,,,
23,UntagResource,Grants permission to untag a resource,Tagging,,,
24,UpdateOutpost,Grants permission to update an Outpost,Write,,,
25,UpdateSite,Grants permission to update a site,Write,,,
26,UpdateSiteAddress,Grants permission to update the site address,Write,,,
27,UpdateSiteRackPhysicalProperties,Grants permission to update the physical properties of a rack at a site,Write,,,
